sq_scan,sq_bar,sq_udise,sq_q01,sq_q02,sq_q03,sq_q04,sq_q05,sq_q06,sq_q07,sq_q08,sq_q09,sq_q10,sq_q11,sq_q12,sq_q13,sq_q14,sq_q15,sq_q16,sq_q17,sq_q18,sq_q19,sq_q20,sq_q21,sq_q22,sq_q23,sq_q24,sq_q25,sq_q26,sq_q27,sq_q28,sq_q29,sq_q30,sq_q31,sq_q32,sq_q33,sq_q34,sq_q35,sq_q36,sq_q37,sq_q38,sq_q39,sq_q40,sq_q41,sq_q42,sq_q43,sq_q44,sq_q45,sq_q46,sq_q47,sq_q48,sq_q49,sq_q50,sq_q51,sq_q52,sq_q53,sq_q54,sq_q55,sq_q56,sq_q57,sq_q58,sq_q59,sq_q60,sq_q61,sq_q62,sq_q63,sq_q64,sq_q65,sq_q66,sq_q67,sq_q68,sq_q69a,sq_q69b,sq_q69c,sq_q69d,sq_q69e,sq_q69f,sq_q69g,sq_q69h,sq_q70,sq_q71,sq_q72,sq_q73
41003926,442005789,7040222801,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,Z,1,1,1,2,3,1,3,1,1,3,2,3,2,2,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,1,1,1,2,2,1,1,2,1,3,2,3,2,2,2,1,2,1,2,1,1,1,4,4,2,4
41004024,442005796,7040223501,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,X,2,1,3,2,3,1,2,3,2,2,2,1,1,1,1,1,1,1,3,2,3,3,2,2,2,2,3,1,1,3,1,1,2,3,1,4,3,2,4,4,2,1,1,2,2,2,2,1,4,4,2,4
41004103,442036737,7040321606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,2,2,2,2,2,4,4,4,4
41004187,442005795,7040223403,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,X,1,2,3,2,2,2,2,2,2,2,1,2,2,3,1,1,1,3,2,3,2,3,3,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,3,3,1,1,1,2,2,1,2,2,4,3,4,4
41004220,442005778,7040122505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,2,1,1,1,1,1,1,1,4,4,4,4
41004340,442005780,7040122701,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,1,1,3,3,3,2,3,1,1,2,2,1,2,2,3,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,2,4,4,2,2,2,2,1,1,1,1,1,1,4,4,4,4
41004346,442005794,7040223402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,3,3,2,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,3,4,4,4,4,2,1,1,1,2,1,1,1,1,4,4,4
41004479,442036730,7040321404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,2,1,3,3,3,3,3,3,2,2,1,1,1,1,2,2,1,1,2,2,3,4,4,4,3,2,1,1,1,2,1,2,2,4,4,4,4
41004488,442036732,7040321503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,2,4,4,3,1,1,2,2,1,1,2,1,1,4,4,4,4,1,1,1,1,1,1,1,2,4,4,4,4
41004556,442036736,7040321604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,4,3,2,1,1,1,1,1,2,2,4,4,4,4
