state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,st_indicator
12,ARUNACHAL PRADESH,mil,240,2.2,0,229,268,,,2,247,,2,256,,2,235.96,243.36,,,2,238.22,,241.75,,0,246.71,221.63,,,0,239.37,,0,251.13,,2
13,NAGALAND,mil,212,1.9,0,206, ,,,3,212,,2,221,,2,208.27,215.84,,,2,212.14,,212.01,,1,223.41,238.32,,,2,210.21,,0,210.83,,0
14,MANIPUR,mil,218,1.3,0,208,214,,,2,216,,2,239,,2,219.99,216.49,,,0,216.38,,221.7,,0,224.96,218.83,,,0,214.11,,0,215.76,,0
15,MIZORAM,mil,204,2.7,0,201,206,,,2,204,,2,212,,2,204.53,204.34,,,1,206.07,,203.19,,2,253.99,268.21,,,2,202.53,,0,233.94,,0
16,TRIPURA,mil,250,1.2,0,248,267,,,2,245,,0,267,,2,244.31,254.08,,,2,245.28,,262.48,,0,261.43,254.95,,,0,229.49,,0,261.76,,1
17,MEGHALAYA,mil,212,2,0,202,204,,,2,217,,2,239,,2,209.85,213.57,,,2,212.94,,206.81,,2,232.72,219.71,,,0,205.75,,0,234.09,,2
18,ASSAM,mil,250,0.4,0,248,234,,,0,261,,2,271,,2,249.57,250.88,,,2,248.12,,261.11,,0,252.04,250.65,,,0,243.48,,0,252.76,,1
19,WEST BENGAL,mil,265,0.3,2,262,284,,,2,277,,2,286,,2,264.91,265.28,,,1,262.74,,271.15,,0,275.24,259.49,,,0,240.61,,0,260.54,,0
20,JHARKHAND,mil,255,0.4,0,244,259,,,2,268,,2,298,,2,258.31,253.1,,,0,249.98,,270.07,,0,277.53,245.56,,,0,244.53,,0,254.87,,0
21,Odisha,mil,252,0.3,0,251,246,,,0,266,,2,251,,1,249.28,254.01,,,2,249.29,,259.75,,0,262.25,246.49,,,0,238.35,,0,255.62,,0
22,Chhattisgarh,mil,258,0.4,0,251,254,,,2,274,,2,299,,2,256.13,259.54,,,2,252.81,,269.26,,0,280.15,254.56,,,0,249.28,,0,259.31,,0
23,MADHYA PRADESH,mil,268,0.3,2,268,251,,,0,273,,2,259,,0,266.63,269.31,,,2,261.75,,274.93,,0,287.44,266.2,,,0,242.31,,0,269.02,,0
24,Gujarat,mil,263,0.3,2,250,260,,,2,271,,2,260,,2,256.91,269.23,,,2,258.23,,268.75,,0,270.87,263.42,,,0,251.38,,0,261.58,,0
25,Daman & Diu,mil,262,5.6,1,247,260,,,2,272,,2,276,,2,259.72,264.68,,,2,266.6,,255.27,,2,273.37,248.8,,,0,236.19,,0,259.97,,0
26,Dadra & Nagar Haveli,mil,244,2.7,0,235,258,,,2,272,,2,278,,2,240.2,247.58,,,2,234.95,,264.66,,0,262.52,268.79,,,2,232.33,,0,263.13,,1
27,Maharashtra,mil,267,0.3,2,254,267,,,2,272,,2,261,,2,260.92,272.81,,,2,265.49,,268.44,,0,270.3,261.72,,,0,253.57,,0,268.97,,0
28,Andhra Pradesh,mil,252,0.3,0,246,244,,,0,261,,2,246,,1,248.32,254.68,,,2,248.02,,257.38,,0,257.35,245.92,,,0,237.95,,0,252.12,,0
29,Karnataka,mil,242,0.2,0,242,242,,,1,241,,1,246,,2,237.63,245.58,,,2,244.59,,239.42,,2,240.46,238.48,,,0,237.67,,0,244.24,,2
30,Goa,mil,229,1.8,0,222,231,,,2,211,,0,225,,2,220.47,237,,,2,227.53,,229.87,,0,228.44,220.92,,,0,228.89,,1,238.82,,2
31,Lakshadweep,mil,233,9.8,0,232, ,,,3, ,,3,242,,2,226.55,238.57,,,2,232.86,, ,,3,193, ,,,3,233.11,,2,236.4,,2
32,Kerala,mil,278,0.4,2,274,278,,,2,285,,2,276,,2,263.96,290.42,,,2,278.29,,278.11,,1,286.81,265.46,,,0,252.28,,0,277.88,,0
33,Tamilnadu,mil,254,0.3,0,247,255,,,2,263,,2,243,,0,246.32,260.15,,,2,253.09,,259.85,,0,256.56,247.81,,,0,231.8,,0,256,,1
34,Puducherry,mil,216,3,0,224,209,,,0,199,,0,237,,2,213.73,216.9,,,2,205.05,,222.85,,0,223.88,234.84,,,2,205.89,,0,208.63,,0
35,Andaman & Nicobar Islands,mil,255,4.2,1,241,232,,,0,256,,2,282,,2,248.52,260.87,,,2,245.6,,261.62,,0,253.17,282.39,,,2,264.11,,2,252.28,,1
36,Telangana,mil,242,0.3,0,238,242,,,2,247,,2,242,,2,237.3,246.2,,,2,241.04,,242.96,,0,245.89,241.79,,,0,236.59,,0,242.69,,0
37,Ladakh,mil,235,5.1,0,219, ,,,3,242,,2,246,,2,228.5,241.08,,,2,232.75,,239.75,,0,233.48,173.67,,,0,235.03,,2,267.67,,2
0,Z-National,mil,260,0.1,3,244,250,,,3,258,,3,267,,3,247.42,254.52,,,3,247.71,,256.94,,3,259.79,249.18,,,3,240.54,,3,254.42,,3
1,Jammu & Kashmir,math,216,0.9,0,201,191,,,0,229,,2,239,,2,219.22,213.62,,,0,209.9,,227.69,,0,220.68,205.39,,,0,200.77,,0,209.23,,0
2,Himachal Pradesh,math,209,0.9,0,198, ,,,3,221,,2,236,,2,210.05,208.58,,,0,206.97,,216.93,,0,213.25,201.7,,,0,206.73,,0,209.81,,0
